what is the duration of karutha modan rice for cultivation,105-110 days,,
what is the duration of chuvanna modan rice for cultivation,105-110 days,,
what is the duration of annapoorna rice for cultivation,95-100 days,,
what is the duration of rohini rice for cultivation,85-105 days,,
what is the duration of jyothi rice for cultivation,110-115 days,,
what is the duration of triveni rice for cultivation,100-105 days,,
what is the duration of swarma prabha rice for cultivation,105-110 days,,
what is the duration of matta triveni rice for cultivation,100-105 days,,
what is the duration of kairali rice for cultivation,110-115 days,,
what is the duration of kanchana rice for cultivation,105-110 days,,
what is the duration of karthika rice for cultivation,105-110 days,,
what is the duration of aruna rice for cultivation,100-110 days,,
what is the duration of makam rice for cultivation,100-110 days,,
what is the duration of ramanika rice for cultivation,100-105 days,,
what is the duration of revahy rice for cultivation,105-110 days,,
what is the duration of krishnaja rice for cultivation,105-110 days,,
what is the duration of bhagya rice for cultivation,100 days,,
what is the duration of onam rice for cultivation,95 days,,
what is the duration of ASD 17 rice for cultivation,100-105 days,,
what is the duration of ahalya 17 rice for cultivation,90-100 days,,
what is the duration of harsha 17 rice for cultivation,105-110 days,,
what is the duration of varsha 17 rice for cultivation,110-115 days,,
what is the duration of kunjukunju varna 17 rice for cultivation,110-115 days,,
what is the duration of kunjukunju priya 17 rice for cultivation,105-110 days,,
what is the duration of chingam 17 rice for cultivation,95-100 days,,
what is the duration of manupriya 17 rice for cultivation,105-110 days,,
what is the duration of prathyasha 17 rice for cultivation,100-110 days,,
what is the duration of samyuktha 17 rice for cultivation,112-117 days,,
what is the duration of ASD 16 rice for cultivation,110-115 days,,
